,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
563,300.0,2.0,3.0,4.0,Organise an inspection,$390K,Vacant land,Nick Borrelli,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.5 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",350000,PARADISE,5075,390000.0,390.0,1.3
565,300.0,2.0,4.0,2.0,Organise an inspection,"$ 395,000 - $ 405,000",Vacant land,Corey Michelmore,"[{""school_name"": ""Paradise Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/paradise-primary-school-sa-5075-7270""}, {""school_name"": ""Avenues College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.3 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",350000,DERNANCOURT,5075,400000.0,400.0,1.3333333333333333
566,369.0,1.0,2.0,1.0,Organise an inspection,"$380,000 - $390.000",Vacant land,Alba Vella,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Gabriel's School"", ""school_distance"": ""0.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-gabriels-school-sa-5085-49735""}]",350000,CLEARVIEW,5085,190195.0,190.195,0.5154336043360433
571,300.0,1.0,3.0,1.0,Organise an inspection,"360,000 - 380,000",Vacant land,Sanjay Patel,"[{""school_name"": ""Avenues College"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}]",350000,HILLCREST,5086,370000.0,370.0,1.2333333333333334
576,356.0,3.0,4.0,1.0,Organise an inspection,"$375,000 - $395,000",Vacant land,Varun Patel,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",350000,BROADVIEW,5083,385000.0,385.0,1.0814606741573034
581,461.0,3.0,5.0,14.0,Organise an inspection,"$390,000-$420,000",Apartment / Unit / Flat,Rachel Lawrie,"[{""school_name"": ""Klemzig Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",350000,KLEMZIG,5087,405000.0,405.0,0.8785249457700651
593,322.0,1.0,3.0,4.0,Organise an inspection,"$359,000 - $389,000",Vacant land,Tristian Kennedy,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",350000,ENFIELD,5085,374000.0,374.0,1.1614906832298137
594,360.0,1.0,3.0,1.0,Organise an inspection,"Price Guide: $368,000",Vacant land,Aditya Singh,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.8 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Valley View Secondary School"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/valley-view-secondary-school-sa-5093-6811""}]",350000,GILLES PLAINS,5086,368000.0,368.0,1.0222222222222221
596,360.0,1.0,2.0,1.0,"Saturday, 1:00pm",$359k-$389k,Apartment / Unit / Flat,Stephen Legierski,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",350000,NORTHFIELD,5085,374000.0,374.0,1.038888888888889
729,443.0,2.0,3.0,2.0,Organise an inspection,"Blocks from $450,000",Vacant land,Spiro Papaemanouil,"[{""school_name"": ""East Marden Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-marden-primary-school-sa-5074-6999""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",400000,FELIXSTOW,5070,450000.0,450.0,1.0158013544018059
