,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
1707,800.0,1.0,3.0,1.0,"Saturday, 2:10pm","Auction (Price: $685,000)",House,Shaun Roberts,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",650000,ATHELSTONE,5076,685000.0,685.0,0.85625
1708,800.0,1.0,2.0,1.0,Organise an inspection,$700k,Apartment / Unit / Flat,Georgie Todd,"[{""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""4.5 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}, {""school_name"": ""Prospect North Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-north-primary-school-sa-5082-50403""}]",650000,PROSPECT,5082,700000.0,700.0,0.875
1710,320.0,1.0,3.0,3.0,Organise an inspection,"$656,400 - $674,399*",House,Astonish Property Group,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}]",650000,BLAIR ATHOL,5084,665399.5,665.3995,2.0793734375
1712,320.0,2.0,4.0,2.0,Organise an inspection,"$695,000",House,Christopher Crosby,"[{""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""4.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}, {""school_name"": ""Prospect Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-primary-school-sa-5082-6864""}]",650000,PROSPECT,5082,695000.0,695.0,2.171875
1713,500.0,2.0,3.0,2.0,Organise an inspection,$690k - $750k,Vacant land,Andrew Simpson,"[{""school_name"": ""Vale Park Primary School"", ""school_distance"": ""0.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""4.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",650000,VALE PARK,5081,720000.0,720.0,1.44
1714,327.0,2.0,4.0,3.0,Organise an inspection,"$659,000 - $709,000",House,Tristian Kennedy,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.2 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",650000,ENFIELD,5085,684000.0,684.0,2.091743119266055
1715,322.0,2.0,4.0,1.0,Organise an inspection,"$657,400 - $675,399*",House,Astonish Property Group,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",650000,LIGHTSVIEW,5085,666399.5,666.3995,2.069563664596273
1718,357.0,2.0,3.0,1.0,Organise an inspection,"$665,000",New House & Land,Jason Loizou,"[{""school_name"": ""Avenues College"", ""school_distance"": ""2.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",650000,HOLDEN HILL,5088,665000.0,665.0,1.8627450980392157
1723,880.0,1.0,3.0,3.0,Organise an inspection,$660k-$720k,House,Tim Gu,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.4 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",650000,HOLDEN HILL,5088,690000.0,690.0,0.7840909090909091
1727,704.0,2.0,3.0,2.0,Organise an inspection,"$665,000",House,Paul McWilliam,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",650000,GREENACRES,5086,685000.0,685.0,0.9730113636363636
1740,320.0,2.0,3.0,1.0,Organise an inspection,"$655,400 - $673,399*",House,Astonish Property Group,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",650000,ENFIELD,5085,664399.5,664.3995,2.0762484375
1741,321.0,2.0,2.0,1.0,Organise an inspection,"$653,400 - $672,399*",House,Astonish Property Group,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""1.3 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",650000,NORTHFIELD,5085,662899.5,662.8995,2.065107476635514
1742,356.0,2.0,3.0,2.0,Organise an inspection,"$680,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",650000,NORTHFIELD,5085,680000.0,680.0,1.9101123595505618
1745,328.0,2.0,3.0,2.0,Organise an inspection,"House and Land from $652,866",New House & Land,,"[{""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Roma Mitchell Secondary College - Hampstead Road Co-Ed Campus"", ""school_distance"": ""2.5 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-hampstead-road-coed-campus-sa-5085-52568""}]",650000,WINDSOR GARDENS,5087,652866.0,652.866,1.9904451219512194
1879,98.0,1.0,3.0,6.0,Organise an inspection,"$750,000 - $790,000",Townhouse,Theon Bruse,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.5 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""2.8 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",700000,HECTORVILLE,5073,770000.0,770.0,7.857142857142857
1880,98.0,1.0,3.0,6.0,Organise an inspection,"$749,000",House,Nicole Neill,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.3 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""2.6 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",700000,HECTORVILLE,5073,749000.0,749.0,7.642857142857143
1881,98.0,2.0,4.0,2.0,Organise an inspection,"$740,000 - $775,000",House,Jimmy Wu,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""3.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.9 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",700000,HECTORVILLE,5073,757500.0,757.5,7.729591836734694
1882,431.0,1.0,3.0,2.0,Organise an inspection,"$730,000",New House & Land,Mario. Iadarola,"[{""school_name"": ""Paradise Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/paradise-primary-school-sa-5075-7270""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}]",700000,PARADISE,5075,730000.0,730.0,1.6937354988399071
1883,281.0,2.0,4.0,2.0,Organise an inspection,"$724,155 - $739,290*",House,Astonish Property Group,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.6 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",700000,DERNANCOURT,5075,731722.5,731.7225,2.6039946619217083
1887,315.0,2.0,4.0,2.0,Organise an inspection,"$740,000",New House & Land,Rob de Donatis,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",700000,ATHELSTONE,5076,740000.0,740.0,2.3492063492063493
1888,378.0,2.0,3.0,2.0,Organise an inspection,"$750,000 - $800,000",Vacant land,Con Bastiras,"[{""school_name"": ""Nailsworth Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/nailsworth-primary-school-sa-5083-6862""}, {""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""3.7 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}]",700000,COLLINSWOOD,5081,775000.0,775.0,2.0502645502645502
1889,432.0,2.0,3.0,2.0,Organise an inspection,"From $730,990",New House & Land,Jason Loizou,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",700000,ATHELSTONE,5076,730990.0,730.99,1.6921064814814815
1890,731.0,2.0,4.0,2.0,"Saturday, 1:15pm","$730,000 - $770,000",House,Luke Mitchell,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",700000,BROADVIEW,5083,750000.0,750.0,1.0259917920656634
1891,372.0,2.0,4.0,2.0,"Thursday, 6:30pm","$750,000- $800,000",House,Mannas Chan,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""2.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.6 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",700000,CAMPBELLTOWN,5074,775000.0,775.0,2.0833333333333335
1893,787.0,2.0,4.0,2.0,Organise an inspection,"$750,000 - $800,000",Vacant land,Allan Edmonds,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",700000,KILBURN,5084,775000.0,775.0,0.9847522236340533
1895,87.0,1.0,3.0,2.0,Organise an inspection,"$749,000",House,Christopher Crosby,"[{""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""4.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}, {""school_name"": ""Prospect Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-primary-school-sa-5082-6864""}]",700000,PROSPECT,5082,749000.0,749.0,8.60919540229885
1897,420.0,2.0,5.0,4.0,"Saturday, 10:00am","$719,000 - $789,000",House,Mike Lao,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",700000,NORTHGATE,5085,754000.0,754.0,1.7952380952380953
1902,410.0,2.0,3.0,2.0,Organise an inspection,"$728,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Avenues College"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Klemzig Primary School"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.7 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",700000,WINDSOR GARDENS,5087,728000.0,728.0,1.775609756097561
1904,319.0,2.0,3.0,1.0,Organise an inspection,"$750,000-$780,000",House,Jacky Yang,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Roma Mitchell Secondary College - Hampstead Road Co-Ed Campus"", ""school_distance"": ""2.4 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-hampstead-road-coed-campus-sa-5085-52568""}]",700000,WINDSOR GARDENS,5087,765000.0,765.0,2.3981191222570533
1905,383.0,2.0,3.0,2.0,Organise an inspection,"$749,291*",New House & Land,Alice Wright,"[{""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.3 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",700000,WINDSOR GARDENS,5087,749291.0,749.291,1.9563733681462143
1908,404.0,2.0,3.0,2.0,Organise an inspection,"$735,000",New House & Land,Mario. Iadarola,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",700000,HAMPSTEAD GARDENS,5086,735000.0,735.0,1.8193069306930694
1910,396.0,2.0,3.0,2.0,Organise an inspection,"House and Land from $718,866",New House & Land,,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",700000,GREENACRES,5086,718866.0,718.866,1.8153181818181818
1911,348.0,2.0,3.0,2.0,Organise an inspection,"House and Land from $718,866",New House & Land,,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",700000,GREENACRES,5086,718866.0,718.866,2.065706896551724
1913,419.0,2.0,3.0,2.0,Organise an inspection,"House and Land from $744,866",New House & Land,,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Klemzig Primary School"", ""school_distance"": ""1.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/klemzig-primary-school-sa-5087-6844""}]",700000,HILLCREST,5086,744866.0,744.866,1.777723150357995
1917,313.0,2.0,3.0,1.0,Organise an inspection,"$745,522",New House & Land,Jason Wear,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Athelstone School"", ""school_distance"": ""1.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}]",700000,OAKDEN,5086,745522.0,745.522,2.381859424920128
1922,750.0,1.0,3.0,2.0,"Sunday, 11:00am","$750,000",House,Kevin Xu,"[{""school_name"": ""Avenues College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.7 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",700000,WINDSOR GARDENS,5087,750000.0,750.0,1.0
